user_id,last_login_to_now,duration,level_end,os_corr,active_days,avg_session_cnt,is_payer
d76f2,561,26,5,0,5,2.8,0
cf7f5,578,1,8,0,2,3.5,0
6481a,578,0,1,0,1,2,0
bb3b7,400,177,13,0,6,5,0
bedtc,3,440,50,0,182,7.1,1
5.40E+74,578,0,1,0,1,2,0
nbgge,50,177,2,0,4,2.7,1
oogvf,0,15,20,0,15,8,1
e88cb,550,24,29,0,25,10.2,1
gaedu,329,134,35,1,85,5,1
gyeva,10,237,42,0,84,20.1,1
f2b1a,568,3,7,1,2,3.5,0
bcd92,568,4,14,0,3,4,1
gjett,18,276,1,0,10,3.5,1
2513,576,2,9,0,3,4.3,0
gkekx,270,100,22,1,29,7.2,1
9275f,490,82,9,0,8,2.1,0
qgves,46,252,44,0,226,6.7,1
f6562,589,0,2,1,1,5,0
fbc41,574,1,2,0,2,3,0
kgpeq,188,121,53,0,121,15.8,1
e0d83,571,3,2,0,4,1.7,0
ogseh,134,265,61,0,254,13.2,1
mfcmp,12,157,29,1,26,4,1
3afef,574,8,2,0,2,1.5,0
96ec8,577,0,1,0,1,2,0
gddvj,0,544,118,0,524,53.9,1
16a54,586,4,8,0,4,8.5,0
eglfk,42,11,21,0,11,10.1,1
96c0b,505,75,21,0,32,2.9,0
5ed81,589,0,6,0,1,4,0
cb8c5,471,118,26,0,43,3.6,0
ejvgl,0,340,88,0,340,21.9,1
2b406,571,0,1,0,1,2,0
gexgh,255,5,10,1,5,1.8,1
97a04,542,32,15,0,12,7.4,0
b05af,575,4,19,0,44,3.9,0
bejqa,308,60,30,0,58,5,1
qgbez,72,142,23,0,28,2.8,1
54f5c,35,537,47,0,145,11.1,0
rduwt,483,45,19,0,19,7.3,1
ggebr,45,431,95,0,407,15.7,1
7a364,577,0,1,0,1,3,0
3ae03,534,45,21,1,58,2.1,0
46373,5,584,70,0,577,13.9,1
6042b,82,508,32,0,60,7.8,1
99a76,580,0,1,0,1,2,0
778b4,580,0,2,1,1,2,0
7cc9c,557,31,19,0,30,4.9,0
6fb42,13,576,3,0,5,4,0
5afc5,408,172,12,0,14,1.7,0
gfgke,92,166,30,0,34,23.2,1
0dc87,585,0,2,0,1,3,0
c1c3d,575,2,2,1,2,1.5,0
90a44,463,119,16,1,16,2.3,1
idvoa,39,491,46,0,186,13.9,1
bfcc0,575,0,1,0,1,2,0
ac1d5,566,19,4,0,6,1.6,0
ygleu,0,265,51,0,265,9.8,1
f5fb2,523,60,31,0,59,7.4,0
68bd2,574,1,7,0,2,2.5,0
qdagl,375,108,33,1,103,5.4,1
zsigf,1,562,88,0,561,18.2,1
c77e3,580,2,8,0,6,2.1,0
fb682,581,0,2,0,1,3,0
d06b1,576,1,1,1,2,1.5,0
gdeqn,0,310,44,1,184,3.7,1
82b07,585,3,1,0,2,1.5,0
be1d9,8,574,35,0,154,4.3,1
pgidw,193,313,52,1,109,12.5,1
hglef,0,434,39,0,165,2.8,1
19b6d,579,0,6,0,1,2,0
pgagc,14,1,10,0,2,13.5,1
963d0,495,79,10,0,9,3.1,0
2b506,573,17,4,0,2,2.5,0
e4ae7,583,1,9,0,2,3.5,0
pgwfh,0,103,46,1,87,12,1
b738d,586,1,1,0,2,1.5,0
hgjex,15,244,16,0,210,7,1
geein,331,63,27,0,33,4,1
jfgdc,0,142,49,0,141,8.7,1
0249d,286,298,12,0,32,1.9,0
eaece,9,569,61,0,285,10.2,1
yfgae,320,8,15,0,4,6.5,1
rdwip,393,130,25,1,42,2.6,1
aghex,0,249,49,1,249,10.6,1
f457b,576,10,6,0,6,2.1,0
be7bf,576,2,1,0,2,1.5,0
052d5,581,2,12,0,3,5,0
gefkw,0,51,38,1,52,9.8,1
09c45,564,14,8,1,12,2.5,0
fbd2d,578,0,1,0,1,2,0
95fcb,573,15,9,0,10,4.1,0
75900,378,209,62,0,210,12.9,1
5201d,92,490,1,0,10,1.6,0
4095e,579,1,3,0,2,3.5,0
qhgxe,0,359,66,0,325,7.5,1
fd8a7,575,0,6,0,1,2,0
f6697,559,22,12,1,6,3.1,1
1484a,126,456,22,0,77,3.7,0
qevrr,212,40,27,0,35,6.2,1
6d079,578,0,1,0,1,2,0
cgtfl,0,28,25,0,28,9.3,1
6f36e,487,92,7,0,2,2.5,0
d6da1,497,75,10,0,5,2.8,0
shghe,421,4,16,0,5,6.6,1
069a7,578,0,1,1,1,2,0
af149,576,0,1,0,1,2,0
85a36,574,0,1,0,1,2,0
e584b,576,1,1,0,2,2,0
81d9e,579,0,1,0,1,3,0
88cb2,583,3,6,0,4,2.5,0
c3eb2,28,562,38,0,119,4.5,0
97996,578,1,3,0,2,3,0
2a8e9,586,0,1,0,1,2,0
yfgkd,133,364,25,1,39,7.4,1
gaeqb,295,28,24,0,25,6.1,1
gheej,61,389,48,0,281,5.3,1
183ac,579,0,1,0,1,3,0
80a09,574,5,7,0,6,3.3,0
dfjzm,3,50,33,0,50,5.8,1
gpfkf,0,73,42,0,74,7,1
itgoe,156,79,43,0,75,13.7,1
rpwgp,0,144,41,0,82,8.2,1
fepgq,174,162,39,1,144,5.7,1
be55d,381,197,16,0,12,8.3,0
gyedk,361,92,35,1,37,8.4,1
79ec5,579,0,1,0,1,2,0
71999,569,3,11,0,4,2.7,0
3dcd1,570,16,16,0,14,5.5,0
fdffb,376,203,1,0,3,1.6,0
c39a9,580,2,5,0,2,1.5,0
gwdso,437,131,26,0,28,8.3,1
c2309,582,0,3,0,1,7,0
ce232,585,1,6,0,2,2,0
sfegs,0,118,45,0,115,7.3,1
bb280,577,0,1,0,1,2,0
129cb,578,0,7,1,1,2,0
ff8a8,579,10,1,0,4,1.2,0
nfghf,66,42,1,0,20,10,1
183ed,587,0,1,0,1,3,0
a9181,590,0,1,0,1,3,0
ca5db,577,0,1,0,1,2,0
zezvz,0,196,58,0,197,20.3,1
mghfj,36,40,34,0,39,11.9,1
zjgfe,285,53,33,1,29,3.7,1
5f120,580,0,1,0,1,2,0
6da11,576,0,5,1,1,2,0
ygmds,19,544,39,0,96,6.1,1
rgcdx,0,523,74,0,468,9,1
b9a07,574,0,1,1,1,2,0
ygzgg,0,28,31,0,29,20.2,1
c8ed9,522,56,28,0,39,21.2,0
623af,575,0,1,0,1,2,0
dea7e,576,11,9,0,10,4.4,0
dgfeq,0,316,53,1,307,11.4,1
a55d2,590,0,4,0,1,2,0
fegne,209,139,42,0,129,7.5,1
f9e93,514,63,15,1,26,3.7,0
06a1b,584,0,1,0,1,2,0
agkfh,115,2,16,0,3,19,1
86458,0,580,106,0,558,17.3,1
bfaf2,575,0,2,0,1,2,0
b0349,565,12,10,0,5,2.4,0
ngzfi,0,59,32,0,59,7,1
wgxet,0,287,55,0,249,6.6,1
b3320,578,0,1,0,1,3,0
254b5,484,87,46,0,84,13.3,1
kgidv,350,188,42,0,82,7.7,1
9c094,495,84,5,0,10,1.8,0
regne,418,0,14,0,1,8,1
8.00E+19,577,0,1,0,1,2,0
eaa63,573,0,1,0,1,2,0
zwgwe,109,324,31,0,61,5.7,1
fmgsd,491,45,15,1,27,2.5,1
gkeon,269,74,30,0,68,4.5,1
28956,562,11,1,0,3,1.3,0
1923f,586,0,1,0,1,2,0
ffcrg,13,150,33,1,104,6.9,1
31125,583,0,1,1,1,2,0
73b7c,583,0,1,1,1,2,0
8.00E+263,182,401,54,0,198,10.8,1
a33ef,152,438,31,0,80,4.8,1
uetnq,198,72,23,1,49,7.1,1
aeosz,0,343,86,1,328,19.7,1
8b84f,567,6,2,0,4,3.7,0
5e1d9,506,79,40,1,68,11.2,1
sgteu,0,264,57,1,241,6.3,1
71884,523,61,6,0,3,3,0
hmngc,412,128,32,0,94,5.4,1
282f5,578,0,1,0,1,2,0
df1db,587,2,12,0,2,11,0
7d096,589,0,1,0,1,3,0
dc07b,589,0,1,0,1,2,0
45c75,581,1,4,0,2,1.5,0
b6506,449,134,13,0,7,5.8,0
48d70,578,1,1,0,2,1.5,0
cad6b,577,3,9,0,4,4,0
08c0c,561,17,6,1,5,1.2,0
84265,384,196,21,1,30,2.1,0
efcop,0,170,52,1,171,16.1,1
gvfbl,141,45,28,0,43,3.3,1
ldvxn,99,434,23,0,37,4.1,1
fflrs,0,50,35,0,47,19,1
45138,487,103,35,0,69,14.4,1
80de2,582,0,8,1,1,3,0
fc71e,577,0,1,0,1,2,0
27631,538,35,12,0,13,3,0
8.10E+86,578,0,2,0,1,2,0
58f12,570,2,1,0,2,1.5,0
pngvd,515,14,9,0,8,2.6,1
d334a,504,69,10,0,6,2.1,0
44a38,565,8,5,0,5,1.8,0
b8fb8,265,307,37,0,57,6.4,0
vgpeh,311,82,32,0,67,4.8,1
bb04e,585,4,1,0,3,1.3,0
eff6e,577,0,1,1,1,2,0
ac361,424,165,8,1,27,3.6,0
gndvm,0,537,89,0,510,16.7,1
lcgte,276,36,36,0,35,13.8,1
gdenf,294,35,28,1,34,5.8,1
5-Feb-04,1,579,70,0,484,13.8,1
igddx,0,508,93,0,509,24.9,1
20908,472,102,7,0,6,1.6,0
3ebb3,561,23,12,0,8,4.3,0
92b2b,572,0,4,0,1,2,0
7a661,511,74,1,0,4,1.2,0
tgbdu,135,395,42,0,113,6,1
51233,529,49,25,0,38,8.5,0
zehgp,111,303,38,0,48,11.1,1
0af08,447,124,38,0,93,4.4,0
f4932,40,539,60,1,259,11.2,1
gwgze,157,139,38,0,82,10,1
8a39e,511,63,31,0,44,9.4,1
glfck,148,28,17,0,11,6.2,1
e5987,558,12,12,0,7,4.7,0
d172a,590,0,1,0,1,3,0
rebmu,89,377,75,0,317,20.3,1
c9dd6,584,5,7,0,3,3.3,0
b076c,399,175,18,0,34,2.2,0
80a24,583,0,1,0,1,2,0
6cc57,576,0,1,0,1,2,0
tgdeq,178,140,1,0,12,1.2,1
rfcpx,150,0,7,0,1,3,1
mtgje,320,87,47,0,88,21.4,1
hrggd,0,562,76,0,563,12,1
180bd,576,0,1,0,1,2,0
ca2f1,327,257,7,0,10,2.3,0
aa506,572,3,9,0,4,5.2,0
24027,571,0,1,0,1,4,0
wedtd,239,202,40,1,99,7.9,1
giefl,141,289,21,0,39,1.8,1
gmebu,465,4,13,0,5,7.2,1
qetdd,288,7,13,1,5,9.4,1
rgbej,14,353,68,0,351,33.6,1
odxoa,463,55,22,0,28,5.5,1
51a0d,445,134,1,0,2,2.5,0
9e6ec,581,0,1,0,1,2,0
kxgle,158,305,18,0,14,6.3,1
a15be,369,219,4,0,3,1.6,0
e7d98,538,40,12,0,27,6,0
fd45b,186,395,40,0,151,9.2,1
jrgke,28,395,56,1,230,23.3,1
babbd,21,570,1,1,3,1.3,0
degqc,1,422,55,0,370,5.7,1
7caac,576,0,1,0,1,2,0
brdgc,308,250,40,0,202,4.5,1
c75d8,460,123,38,0,85,7.8,1
aelqr,299,51,45,0,217,22.2,1
5c1bd,579,0,1,0,6,2.3,0
866bd,586,0,1,0,1,2,0
19781,566,5,7,0,5,4.4,0
xgzdx,376,131,40,0,113,6.7,1
67a78,576,2,1,0,2,2,0
6.00E+283,488,93,9,1,47,2.3,1
eb98c,579,0,1,0,1,2,0
b875e,0,575,28,0,45,4.1,1
sgtez,0,207,49,1,185,5.1,1
386ec,589,0,1,0,1,2,0
0897d,578,5,6,0,4,4.7,0
0bc3b,570,2,12,0,3,8,0
2ffe4,494,89,36,1,58,15.6,1
5393a,571,3,4,0,3,1.6,0
drgse,299,111,33,0,45,4.5,1
1b495,0,578,116,0,578,24.8,1
eda2d,441,136,32,0,40,9.2,1
5ed22,524,50,30,1,47,5.8,1
aeab4,588,1,10,0,2,7,0
gpecn,62,410,99,0,267,45.4,1
godxt,357,152,13,0,7,4.7,1
1.44E+02,570,0,1,0,1,2,0
5a164,571,4,9,0,4,2,0
bb3ba,0,576,108,0,547,21.2,1
13f2a,575,1,1,0,2,5,0
gjfgv,32,104,49,0,88,10.9,1
ddf0f,580,0,1,1,1,2,0
f84a7,577,0,4,0,1,3,0
5f48b,582,0,2,0,1,2,0
jgrdv,498,33,24,0,30,5.2,1
bd9fc,431,154,30,0,64,7.4,0
0d916,584,0,3,0,1,2,0
eda2d,441,136,32,0,40,9.2,1
qepmd,337,1,1,0,2,3,1
2fa62,459,121,13,0,6,3.3,0
af5d7,476,98,43,0,91,26.9,1
wgaeg,1,418,60,0,402,4.3,1
f805c,575,0,1,0,1,2,0
b21fc,0,587,84,0,555,8.7,1
33c3c,579,0,2,0,1,3,0
e0276,515,63,31,0,63,7.4,1
f929b,587,1,12,0,2,7,0
d7ac4,323,263,67,0,244,13.7,1
21f30,576,3,1,0,2,2,0
8340b,570,3,12,0,4,3,0
5cb88,586,0,1,0,1,2,0
drgte,227,221,42,0,104,17.3,1
34ee9,496,88,45,0,74,14.6,1
rbbgt,0,138,48,0,136,12,1
40def,577,0,1,0,1,5,0
dqgge,11,443,54,0,194,8,1
6ed87,108,473,24,0,54,3,0
lqgve,0,426,75,0,418,11.4,1
2bfe9,129,449,49,1,276,4.8,1
kgugt,136,104,28,0,12,15,1
zggee,0,293,36,0,98,8.6,1
ddwbu,473,39,33,0,28,28.3,1
gwefu,51,382,39,0,279,2.2,1
c9b97,85,502,16,0,82,2.9,0
3e6a2,197,390,60,0,194,15.5,1
b38f0,454,134,37,0,133,4.7,1
e3dec,577,0,4,0,1,2,0
39331,586,0,1,0,1,3,0
c8138,488,97,26,0,52,4.3,0
dc493,216,374,40,0,34,13.5,0
d69ad,306,267,72,0,374,32.2,1
cec78,0,580,68,0,577,7.7,1
7405c,563,25,29,1,26,5.4,1
snfgn,0,158,56,0,157,25.7,1
gldyc,407,86,37,0,80,6.9,1
58edc,571,3,8,0,2,2.5,0
a195a,0,588,89,0,589,11.7,1
12a30,586,0,1,0,1,2,0
vdwxn,360,145,50,0,141,9.2,1
2f061,546,38,21,0,18,3.7,0
20a85,582,0,1,0,1,2,0
60211,430,150,38,0,63,12.7,1
jeupy,235,36,31,0,37,11.9,1
gwdrh,209,354,35,0,25,17.6,1
ahhgr,21,279,20,0,13,5.6,1
odywt,186,317,30,1,32,9.8,1
06f00,576,0,1,0,1,2,0
ba52c,565,10,6,1,4,2.2,0
glego,195,229,25,0,20,3.4,1
gveze,29,202,40,1,71,11,1
28f01,579,0,2,0,1,3,0
59949,0,591,46,1,198,6.9,1
83de2,567,11,9,0,7,2,0
weiih,340,58,25,0,43,5,1
izglf,0,25,28,0,26,13.1,1
5515d,47,525,39,0,166,17.7,1
15b2f,136,438,54,0,144,13.4,1
aggdu,42,493,37,0,177,10.3,1
rogdd,180,312,54,0,227,7.9,1
6375a,289,294,46,0,234,8.3,1
3e10a,444,130,7,0,5,2.6,0
6a84f,581,0,1,0,1,2,0
lgbeg,420,6,11,0,7,5.4,1
ggwen,259,95,30,1,68,5.2,1
97102,460,116,19,0,29,5.1,0
561cb,491,82,7,0,2,2,0
d5d78,333,244,31,1,77,4.9,1
ef7d8,586,0,2,0,1,4,0
rtgnd,535,0,9,1,1,6,1
4ff99,583,0,1,0,1,2,0
5718,574,0,5,0,1,5,0
pjgmd,555,15,27,0,16,37.3,1
d2770,577,0,1,0,1,2,0
f6b90,574,0,6,0,1,3,0
75d4b,578,8,8,0,4,2,0
bagqd,486,24,25,0,23,8.2,1
uxgwe,181,76,35,0,63,2.5,1
835d8,473,108,7,0,9,2.1,0
f5338,563,7,6,0,3,3.3,0
gveki,42,334,39,0,121,6.5,1
guesk,257,40,39,0,39,24.8,1
pzgce,127,176,22,0,13,8.2,1
5c957,581,0,3,0,1,5,0
f64a5,579,0,4,0,1,19,0
ab62a,529,49,31,0,41,6.1,1
36cfb,557,15,14,0,13,8.7,0
pgfex,0,235,68,0,236,27.2,1
uvgmf,19,33,20,0,29,2.8,1
d3ff4,570,4,7,0,3,2.6,0
ddd0d,577,0,1,0,1,2,0
gyehy,0,406,72,1,395,7.5,1
6a201,136,448,55,0,187,14.6,1
4.65E+05,198,387,4,0,10,2.8,0
xgrep,9,318,68,0,195,10.9,1
emdgh,346,217,32,0,106,2.9,1
a87fc,590,0,1,0,1,3,0
6e2bf,586,0,3,0,1,2,0
a40ae,567,18,19,1,14,3.8,1
aeuda,9,257,54,0,253,6.1,1
a786a,589,0,7,0,1,3,0
34ee9,496,88,45,0,74,14.6,1
ggdwo,59,449,49,0,410,2.7,1
fdzug,2,497,53,0,335,6.9,1
ngwdz,92,409,60,0,153,58.9,1
hxgme,61,238,29,0,59,2.9,1
buygw,24,473,6,0,5,1.8,1
ea38f,546,39,12,0,8,3,0
46564,576,0,1,0,1,2,0
c03df,580,0,1,0,2,1.5,0
10ff2,569,16,6,0,9,3.3,0
pugze,2,410,40,1,275,3.4,1
f4388,525,55,20,1,38,3.2,0
dwgwe,113,344,23,0,16,3.5,1
56a9e,581,0,1,0,1,2,0
0e7e0,585,1,1,0,2,2,0
7.40E+31,576,0,1,0,1,2,0
ptgke,278,69,32,0,56,9.9,1
relnd,325,59,31,0,56,6.3,1
71d62,582,1,1,0,2,1.5,0
a40ae,567,18,19,1,14,3.8,1
6daa4,184,406,51,0,234,8.6,1
d7112,0,588,103,0,586,19.9,1
c4725,421,156,66,0,362,14.3,1
10b64,583,1,7,0,2,3.5,0
grekw,242,129,35,0,101,4.7,1
ugxfh,0,90,38,0,91,11.1,1
e3102,555,29,26,0,24,8.1,0
7.28E+08,557,31,26,0,31,8.2,0
159ea,565,9,13,0,9,4.7,0
52fc8,567,7,1,0,3,1.3,0
71f5d,120,456,32,0,84,5.1,0
2a685,588,0,2,0,1,3,0
xgqeg,249,188,38,0,61,17.2,1
46373,5,584,70,0,577,13.9,1
zdysn,392,100,35,1,78,4.2,1
f8d29,477,109,51,0,91,15.6,1
89260,55,521,12,0,42,3.6,0
c4cf8,285,293,22,0,28,3,0
dc7ef,575,2,5,0,2,2,0
7a920,562,15,14,0,11,2.1,0
zpggh,79,248,57,1,200,8.8,1
93f32,555,25,20,0,22,3.4,0
8cfef,559,22,4,0,4,4.5,0
gnfha,59,41,19,0,27,4,1
fdcd9,558,28,26,0,23,8.3,0
cgddt,270,279,26,0,34,4.4,1
61c0e,431,159,6,0,3,2.3,0
kzgwe,74,313,9,0,149,15.3,1
gsflp,0,26,27,0,27,16.5,1
85d00,576,0,1,1,1,2,0
ngwdx,0,505,83,1,327,9.6,1
4e1b7,586,0,5,0,1,3,0
d6271,211,377,33,0,92,4.4,1
7de3e,589,0,1,0,1,3,0
cbzgc,0,316,34,0,303,2.4,1
tdatm,189,294,61,1,198,13.8,1
ageeq,0,320,57,0,317,9.3,1
gdebh,441,40,31,0,37,12.4,1
zvgmf,0,16,26,0,17,17.1,1
ufmai,0,38,31,0,37,12.8,1
gkfdw,112,53,28,0,45,7,1
30721,124,450,19,0,13,5.5,0
6d99b,573,12,1,0,6,1.8,0
630c2,268,321,1,0,2,2.5,0
39063,492,84,4,0,6,2.1,0
mgddw,367,139,29,0,51,3.6,1
gfezw,172,22,11,0,8,2.8,1
gadxm,135,389,41,1,47,16.9,1
8d7aa,553,23,7,0,6,2.6,0
7a1d6,582,0,1,1,1,2,0
6f1f3,577,11,10,1,8,3.3,0
3c3ee,580,0,5,0,1,3,0
ttgre,205,236,69,0,225,5.9,1
gefkz,12,73,1,0,67,13.4,1
13420,88,502,38,0,159,11.5,1
wdvre,0,528,66,0,469,7.7,1
gfeon,0,326,86,0,326,15.5,1
tgwel,309,48,32,1,36,11.5,1
axgkf,9,20,21,0,14,5.2,1
5acad,572,5,6,0,4,3.7,1
gguej,11,364,37,0,113,6.2,1
dtogz,2,79,41,0,78,17.4,1
594b7,576,0,1,0,1,2,0
a2ed5,555,30,4,0,3,1.6,0
f74ff,575,0,4,0,1,2,0
02b2b,133,445,4,0,4,3,0
bewdo,193,57,32,0,52,3.1,1
xegwf,375,62,19,0,13,4.6,1
gwesi,0,292,56,0,286,6.3,1
5e539,575,0,1,1,1,2,0
ff31a,570,7,11,0,8,3.7,0
b4599,575,10,16,0,11,13.3,0
ghgpe,1,252,35,0,117,4.7,1
gmdvz,0,543,77,0,465,12.4,1
ed82d,588,0,7,1,1,4,0
a7c26,577,0,1,0,1,2,0
6f5c8,576,0,1,0,1,2,0
c7a50,587,0,1,1,1,2,0
896c6,524,48,11,0,6,4,0
8cabc,567,4,2,0,5,3.4,0
ygher,202,112,34,1,78,3.7,1
4d528,571,0,1,0,1,2,0
zugnd,215,348,99,0,349,14.2,1
bfc98,583,0,1,0,1,2,0
db932,579,0,6,0,1,3,0
723d3,309,264,45,1,157,9,1
lekst,303,76,41,0,74,12.7,1
hgwfm,0,49,35,0,50,11.1,1
08d1c,580,0,1,0,1,3,0
f9c01,588,0,1,0,1,3,0
4d45e,574,0,6,0,1,4,0
ba161,589,1,7,1,2,5.5,0
727b0,577,0,1,0,1,2,0
72941,573,0,1,0,1,6,0
49864,571,0,1,0,1,2,0
wgefk,34,3,1,1,3,4.3,1
xezge,41,183,3,0,6,1.3,1
639b6,444,136,15,1,17,2.2,0
a6193,314,261,13,0,6,3,0
977f0,413,173,22,0,25,2.9,0
4776c,559,16,1,0,3,1.6,0
gndwy,1,511,68,0,459,8,1
ldzrd,470,13,16,0,13,4,1
d18e4,582,1,6,0,2,3.5,0
a828e,165,426,14,0,27,3.1,0
gydzj,410,73,31,0,68,6.5,1
7e82e,578,0,2,0,1,2,0
40296,0,584,81,1,569,10.7,1
2d376,168,406,15,0,34,2.5,0
d1d7e,221,368,43,0,246,7,0
44c5d,573,2,4,0,2,1.5,0
hvgaf,1,144,47,0,135,10.6,1
egsfe,5,127,47,0,125,16.4,1
cgzec,419,51,31,0,45,10.6,1
71cca,563,15,14,0,5,2.8,0
